Post_ID,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Interactions,Engagement_Rate,Like_Rate,Share_Rate,Comment_Rate,Year,Post_Month,Post_Quarter,Day_Of_Week,Is_Fitness,Reach_Tier,Format_Group
Post_45,2023-03-06,Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Low,450024,0.11438936367828106,0.09683737902698987,0.010893861990746647,0.0066581226605445356,2023,2023-03,2023Q1,Monday,0,T4 Mega reach,Short video
Post_47,2023-06-02,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,413872,0.25863169018089194,0.20332488250177944,0.03925543528864787,0.016051372390464662,2023,2023-06,2023Q2,Friday,0,T2 Growth reach,Short video
Post_48,2023-11-07,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,134307,0.06069393548701972,0.033722920188697235,0.010907618522118691,0.016063396776203793,2023,2023-11,2023Q4,Tuesday,0,T2 Growth reach,Live stream
Post_49,2023-04-29,Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High,436290,0.09260782436246552,0.06661229927170756,0.018270246565758687,0.007725278524999273,2023,2023-04,2023Q2,Saturday,0,T4 Mega reach,Live stream
Post_50,2022-08-15,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,485005,0.17650743070426103,0.15374657724686183,0.00784085235105474,0.01492000110634445,2022,2022-08,2022Q3,Monday,0,T3 Established reach,Short video
Post_51,2022-05-23,YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,321675,0.1545454894865347,0.10812827359704356,0.03259303957959591,0.013824176309895235,2022,2022-05,2022Q2,Monday,0,T2 Growth reach,Image post
Post_52,2023-01-14,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,193619,0.0857292514392334,0.07062626688403865,0.011292923514518967,0.003810061040675778,2023,2023-01,2023Q1,Saturday,0,T2 Growth reach,Live stream
Post_53,2022-11-06,YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,Low,596374,0.4392046249585742,0.3479021983282395,0.06675553264351733,0.024546893986817395,2022,2022-11,2022Q4,Sunday,0,T1 Emerging reach,Text post
Post_55,2023-01-13,Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High,583937,0.1457652741169578,0.12280676353947283,0.015110799800998949,0.007847710776486024,2023,2023-01,2023Q1,Friday,0,T4 Mega reach,Short video
Post_56,2023-08-25,YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,504551,0.12822164015114648,0.09903275509397608,0.020810975171226567,0.00837790988594383,2023,2023-08,2023Q3,Friday,1,T4 Mega reach,Text post
Post_57,2022-06-30,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,117094,0.04145187406763905,0.012080778301469334,0.018944937337555905,0.010426158428613807,2022,2022-06,2022Q2,Thursday,0,T3 Established reach,Live stream
Post_59,2023-12-26,YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,564612,0.24639503275378347,0.20710009334533716,0.03661109731611427,0.002683842092332023,2023,2023-12,2023Q4,Tuesday,0,T2 Growth reach,Image post
Post_60,2023-05-31,Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,71469,0.020271598404004117,0.011619955110842975,0.0011688880077082506,0.007482755285452889,2023,2023-05,2023Q2,Wednesday,0,T3 Established reach,Live stream
Post_61,2023-04-21,TikTok,#Music,Reel,USA,866896,122451,79602,25491,Low,227544,0.26248131263727137,0.1412522378693638,0.09182416345213266,0.0294049113157749,2023,2023-04,2023Q2,Friday,0,T1 Emerging reach,Short video
Post_62,2023-10-24,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,405223,0.09872567781734107,0.0807728524668446,0.014709096158273715,0.003243729192222749,2023,2023-10,2023Q4,Tuesday,0,T4 Mega reach,Long-form video
Post_63,2023-02-23,TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Low,197933,0.07608590777188488,0.035847055535758836,0.02149616308807311,0.018742689148052945,2023,2023-02,2023Q1,Thursday,0,T2 Growth reach,Text post
Post_64,2023-12-05,Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,284948,0.24951008292251517,0.18615623057187639,0.06333809094332023,1.5761407318546798e-05,2023,2023-12,2023Q4,Tuesday,0,T1 Emerging reach,Short video
Post_65,2023-12-11,YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low,392918,0.13231384389298054,0.12058967042936215,0.008987096202810421,0.00273707726080797,2023,2023-12,2023Q4,Monday,0,T3 Established reach,Short video
Post_66,2022-11-03,TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,134193,0.15686556434219986,0.01650213626507221,0.08609820390080249,0.05426522417632516,2022,2022-11,2022Q4,Thursday,0,T1 Emerging reach,Image post
Post_67,2023-05-26,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High,432176,0.09704277057451298,0.08444088067275347,0.00819632559769833,0.004405564304061181,2023,2023-05,2023Q2,Friday,0,T4 Mega reach,Long-form video
Post_68,2023-06-10,Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,223219,0.21064437348069634,0.07157807522157297,0.09413454424665187,0.0449317540124715,2023,2023-06,2023Q2,Saturday,0,T1 Emerging reach,Short video
Post_69,2022-01-20,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,409814,0.7046599160558276,0.5877209724593648,0.11610500415250259,0.0008339394439601291,2022,2022-01,2022Q1,Thursday,1,T1 Emerging reach,Text post
Post_70,2022-02-05,YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium,502722,0.11894728100118611,0.09964658090628326,0.01272209362660233,0.006578606468300529,2022,2022-02,2022Q1,Saturday,1,T4 Mega reach,Text post
Post_71,2022-05-16,Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,Medium,186694,0.3847663092985775,0.10423648122271822,0.19031190361366324,0.09021792446219606,2022,2022-05,2022Q2,Monday,0,T1 Emerging reach,Short video
Post_72,2022-01-19,Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low,203349,0.14323368089477995,0.048403854050958615,0.06910962237823316,0.025720204465588176,2022,2022-01,2022Q1,Wednesday,0,T1 Emerging reach,Text post
Post_73,2022-12-07,TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium,267775,0.061157389463913886,0.03126169789951117,0.020389146222059507,0.009506545342343204,2022,2022-12,2022Q4,Wednesday,0,T4 Mega reach,Image post
Post_74,2022-06-12,TikTok,#Music,Post,India,3647159,216783,79133,7687,High,303603,0.08324369735457104,0.05943886734853073,0.02169716209246704,0.002107667913573277,2022,2022-06,2022Q2,Sunday,0,T3 Established reach,Image post
Post_75,2023-05-08,YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low,146744,0.0838486833647124,0.07170141220098222,0.0005382534190805694,0.011609017744649607,2023,2023-05,2023Q2,Monday,0,T2 Growth reach,Long-form video
Post_76,2023-05-12,Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High,230259,0.12818023468452194,0.08078407053339264,0.038088499634540564,0.00930766451658874,2023,2023-05,2023Q2,Friday,0,T2 Growth reach,Text post
Post_77,2022-05-10,Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Medium,61642,0.040153966313192076,0.010036863063392874,0.015039009446037855,0.015078093803761348,2022,2022-05,2022Q2,Tuesday,1,T2 Growth reach,Short video
Post_78,2023-08-29,Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,Medium,202060,0.32984325670835823,0.2157432165512558,0.047894690447506834,0.06620534970959559,2023,2023-08,2023Q3,Tuesday,0,T1 Emerging reach,Long-form video
Post_79,2022-01-27,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium,180475,0.04277031741156575,0.04076090047662924,0.0011951279163680624,0.0008142890185684439,2022,2022-01,2022Q1,Thursday,0,T4 Mega reach,Short video
Post_80,2023-11-06,Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,High,382154,0.09566875300721933,0.060438537068218376,0.02488938690026471,0.01034082903873624,2023,2023-11,2023Q4,Monday,0,T4 Mega reach,Short video
Post_81,2022-07-31,Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium,291777,0.06799976601389048,0.0492153891079466,0.01544308322843966,0.0033412936775042163,2022,2022-07,2022Q3,Sunday,0,T4 Mega reach,Short video
Post_83,2022-08-09,Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low,258005,0.05563956439809725,0.047339509924137574,0.0012574729172120892,0.00704258155674759,2022,2022-08,2022Q3,Tuesday,0,T4 Mega reach,Live stream
Post_84,2023-03-29,Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,High,184620,0.055690207759888394,0.018803514196297274,0.023948418234606538,0.012938275328984578,2023,2023-03,2023Q1,Wednesday,0,T3 Established reach,Short video
Post_85,2023-10-28,Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Medium,123419,0.02832473509318987,0.024368144673508996,0.0009781315759095051,0.002978458843771365,2023,2023-10,2023Q4,Saturday,1,T4 Mega reach,Short video
Post_86,2022-10-05,TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,162519,0.17910679688688166,0.057811118972521065,0.0850707416689259,0.036224936245434686,2022,2022-10,2022Q4,Wednesday,1,T1 Emerging reach,Short video
Post_87,2022-12-28,Twitter,#Gaming,Post,India,1908555,194688,34182,3500,High,232370,0.12175179651621253,0.10200806369216502,0.01790988470334887,0.0018338481206986437,2022,2022-12,2022Q4,Wednesday,0,T2 Growth reach,Image post
Post_88,2022-12-27,Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Medium,84545,0.027500846542706577,0.005930840794998746,0.012267306471879982,0.009302699275827848,2022,2022-12,2022Q4,Tuesday,0,T3 Established reach,Image post
Post_89,2022-10-08,YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,High,215209,0.05291428220180103,0.04688471586194179,0.003187263730522175,0.0028423026093370623,2022,2022-10,2022Q4,Saturday,0,T4 Mega reach,Image post
Post_90,2022-03-21,YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,Low,279920,0.23860404020945195,0.11707043473294708,0.08125766627996082,0.04027593919654403,2022,2022-03,2022Q1,Monday,1,T1 Emerging reach,Short video
Post_91,2023-07-12,TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,High,130096,0.0607390502940402,0.01095577538279384,0.0311067266014406,0.01867654830980576,2023,2023-07,2023Q3,Wednesday,1,T2 Growth reach,Short video
Post_92,2022-07-08,Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low,212697,0.046570210015560845,0.01466533456909249,0.02114978587691935,0.010755089569549002,2022,2022-07,2022Q3,Friday,0,T4 Mega reach,Image post
Post_93,2022-03-11,Twitter,#Gaming,Post,UK,506074,69145,31191,43362,Low,143698,0.2839466165027249,0.13663021613439932,0.061633278927587666,0.08568312144073792,2022,2022-03,2022Q1,Friday,0,T1 Emerging reach,Image post
Post_94,2023-03-20,YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,High,275857,0.08593461845187658,0.061048322783232814,0.023492872451776902,0.0013934232168668693,2023,2023-03,2023Q1,Monday,0,T3 Established reach,Text post
Post_96,2023-04-14,TikTok,#Music,Reel,India,1347102,274212,15298,28342,High,317852,0.2359524371576911,0.2035569689600342,0.011356229892020056,0.02103923830563684,2023,2023-04,2023Q2,Friday,0,T1 Emerging reach,Short video
Post_98,2022-12-18,TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Medium,131913,0.03432074006852024,0.023502576793868978,0.002836710778824499,0.00798145249582676,2022,2022-12,2022Q4,Sunday,0,T3 Established reach,Image post
Post_99,2022-12-06,Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,329841,0.34177829034694784,0.2728394639576488,0.0406259422862312,0.02831288410306785,2022,2022-12,2022Q4,Tuesday,0,T1 Emerging reach,Short video
Post_100,2023-05-20,YouTube,#Education,Post,Canada,3096420,364521,73308,29082,Low,466911,0.1507905904237797,0.11772337086054217,0.02367508283759955,0.009392136725637995,2023,2023-05,2023Q2,Saturday,0,T3 Established reach,Image post
Post_101,2023-10-15,YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,High,95137,0.034926554269661764,0.0004952428782679055,0.030073614604855657,0.004357696786538205,2023,2023-10,2023Q4,Sunday,0,T3 Established reach,Text post
Post_102,2022-09-01,TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium,135249,0.06011927040225312,0.020653622429521026,0.036927506958773657,0.002538141013958442,2022,2022-09,2022Q3,Thursday,0,T2 Growth reach,Live stream
Post_103,2022-07-22,Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,Medium,413110,0.12475806249469618,0.10646548821320036,0.016671151325058007,0.0016214229564378102,2022,2022-07,2022Q3,Friday,0,T3 Established reach,Short video
Post_104,2023-05-24,Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,337068,0.09391704701898608,0.06718450865241737,0.018118153902051185,0.008614384464517524,2023,2023-05,2023Q2,Wednesday,0,T3 Established reach,Text post
Post_106,2022-07-10,Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Low,382534,0.09741743237602792,0.07714240093145708,0.012533516894755995,0.007741514549814847,2022,2022-07,2022Q3,Sunday,1,T4 Mega reach,Live stream
Post_107,2022-06-13,YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,High,163228,0.05934879506616873,0.02173058596518147,0.027460107325810078,0.010158101775177189,2022,2022-06,2022Q2,Monday,0,T3 Established reach,Text post
Post_108,2023-06-26,TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,Medium,477058,0.10246625844089371,0.08226889848417776,0.00977929045695469,0.010418069499761264,2023,2023-06,2023Q2,Monday,0,T4 Mega reach,Short video
Post_109,2023-10-19,Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,521509,0.10766055079962643,0.09347148603265228,0.00926133130966645,0.004927733457307703,2023,2023-10,2023Q4,Thursday,1,T4 Mega reach,Long-form video
Post_110,2023-08-06,Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Medium,219456,0.05672472703990836,0.04864338685826495,0.0012045112824710781,0.006876828899172325,2023,2023-08,2023Q3,Sunday,0,T4 Mega reach,Long-form video
Post_111,2022-11-15,Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,High,504551,0.2004283051636553,0.16616786448046447,0.020513918527475566,0.013746522155715264,2022,2022-11,2022Q4,Tuesday,0,T2 Growth reach,Text post
Post_112,2022-12-18,Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium,438478,0.21989417469349928,0.1555966000699083,0.044128982302771104,0.020168592320819884,2022,2022-12,2022Q4,Sunday,0,T2 Growth reach,Long-form video
Post_113,2022-05-18,TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High,312872,0.22300245616886125,0.17194892651308127,0.04046976545939481,0.01058376419638517,2022,2022-05,2022Q2,Wednesday,0,T1 Emerging reach,Short video
Post_114,2022-11-05,YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,Low,90304,0.12846432889963724,0.024697346895227255,0.08877587310619532,0.014991108898214667,2022,2022-11,2022Q4,Saturday,0,T1 Emerging reach,Live stream
Post_115,2022-07-17,Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High,390402,0.24406928431300226,0.22803106365899495,0.010443536135697826,0.005594684518309479,2022,2022-07,2022Q3,Sunday,0,T2 Growth reach,Text post
Post_116,2022-05-22,TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High,559998,0.12171287135599056,0.09641802087209322,0.021374377958068028,0.003920472525829302,2022,2022-05,2022Q2,Sunday,0,T4 Mega reach,Image post
Post_117,2023-04-30,Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Low,248302,0.09950348840471104,0.08571096533235019,0.006733963557090819,0.007058559515270036,2023,2023-04,2023Q2,Sunday,0,T2 Growth reach,Short video
Post_118,2023-04-05,TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,High,393382,0.21396166462612376,0.15725596566448907,0.041984419353593,0.014721279608041715,2023,2023-04,2023Q2,Wednesday,0,T2 Growth reach,Long-form video
Post_119,2022-05-25,YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,Low,475980,0.16297057161933132,0.14257203019875714,0.01948264941023402,0.000915892010340164,2022,2022-05,2022Q2,Wednesday,0,T3 Established reach,Short video
Post_120,2023-09-14,TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,Low,405008,0.22847949056285516,0.2037912178731744,0.017207832686363653,0.007480440003317118,2023,2023-09,2023Q3,Thursday,0,T2 Growth reach,Long-form video
Post_121,2023-10-01,Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High,217914,0.0877159297432089,0.040898597802613595,0.032213306283623455,0.014604025656971841,2023,2023-10,2023Q4,Sunday,0,T2 Growth reach,Short video
Post_122,2022-07-30,YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Medium,103547,0.02101549915133891,0.004534243063923268,0.007860491198502672,0.008620764888912972,2022,2022-07,2022Q3,Saturday,0,T4 Mega reach,Live stream
Post_123,2022-10-18,TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Low,357683,0.09114839955221253,0.07212456707549061,0.00781716856731707,0.011206663909404837,2022,2022-10,2022Q4,Tuesday,0,T4 Mega reach,Long-form video
Post_124,2022-09-10,Instagram,#Music,Post,USA,4646060,21362,31562,19778,Medium,72702,0.015648097527797746,0.004597874327925167,0.0067932829106813085,0.0042569402891912715,2022,2022-09,2022Q3,Saturday,0,T4 Mega reach,Image post
